epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,358.662,5.55145,6.1184,4.3985,1.21903,1e-05,0.00014,0,0,5.71557,5.67423,4.34032,0,0.000237706,0.000237706,0.000237706,0.000118853,0.000475412
2,536.392,3.79837,3.60944,2.46134,0.84472,0.13109,0.09168,0.02076,0.00713,2.99007,2.52641,1.59594,0,0.000466287,0.000466287,0.000466287,0.000233143,0.000932574
3,713.252,2.93481,2.50761,1.51796,0.94492,0.08139,0.11573,0.04289,0.01805,2.58207,2.20106,1.29401,0,0.000685443,0.000685443,0.000685443,0.000342722,0.00137089
4,879.178,2.57252,2.21654,1.30882,0.99877,0.18799,0.13561,0.05676,0.0257,2.37151,2.00395,1.20498,0,0.000671588,0.000671588,0.000671588,0.000335794,0.00134318
5,1050.75,2.40063,2.04925,1.22864,0.99953,0.2429,0.12835,0.07099,0.03157,2.25769,1.8647,1.16285,0,0.000657451,0.000657451,0.000657451,0.000328726,0.0013149
6,1223.82,2.30095,1.95768,1.18215,0.99992,0.26572,0.14521,0.08126,0.0393,2.13912,1.74778,1.12801,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
7,1390.75,2.23645,1.8863,1.13918,0.99993,0.36977,0.14357,0.09155,0.04477,2.06902,1.70558,1.09301,0,0.000629177,0.000629177,0.000629177,0.000314588,0.00125835
8,1561.39,2.17376,1.82701,1.11332,0.99996,0.26191,0.15955,0.09732,0.04709,2.07001,1.6826,1.06846,0,0.00061504,0.00061504,0.00061504,0.00030752,0.00123008
9,1732.02,2.14332,1.78551,1.09334,0.99991,0.211,0.16854,0.10782,0.0537,1.9905,1.62618,1.0537,0,0.000600902,0.000600902,0.000600902,0.000300451,0.0012018
10,1904.43,2.10831,1.74577,1.07569,1,0.21021,0.17153,0.11247,0.05549,1.98069,1.6051,1.04819,0,0.000586765,0.000586765,0.000586765,0.000293383,0.00117353
11,2077.39,2.06771,1.70158,1.06366,0.99991,0.21729,0.17499,0.11599,0.05748,1.95602,1.56815,1.04042,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
12,2246.06,2.03821,1.67004,1.05245,1.00012,0.21694,0.18537,0.12357,0.06225,1.89881,1.51405,1.02662,0,0.000558491,0.000558491,0.000558491,0.000279245,0.00111698
13,2416.28,2.02183,1.65338,1.04339,0.99987,0.23023,0.18852,0.1294,0.06499,1.91001,1.50294,1.01355,0,0.000544354,0.000544354,0.000544354,0.000272177,0.00108871
14,2586.34,1.99613,1.62474,1.03916,1,0.22841,0.1853,0.13141,0.06652,1.86159,1.48766,1.0102,0,0.000530216,0.000530216,0.000530216,0.000265108,0.00106043
15,2758.72,1.97438,1.60055,1.0327,1.00001,0.24317,0.19536,0.1373,0.06976,1.87786,1.47048,0.99898,0,0.000516079,0.000516079,0.000516079,0.00025804,0.00103216
16,2931.27,1.96301,1.57707,1.02494,0.99999,0.25381,0.19562,0.14471,0.07353,1.85016,1.43773,1.00341,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
17,3103.94,1.94361,1.56046,1.02256,0.99998,0.25912,0.20358,0.14941,0.07691,1.81125,1.41633,0.99685,0,0.000487805,0.000487805,0.000487805,0.000243902,0.00097561
18,3277.98,1.93291,1.54559,1.01522,1.00003,0.25802,0.20876,0.15218,0.0782,1.81283,1.41704,0.99342,0,0.000473668,0.000473668,0.000473668,0.000236834,0.000947335
19,3450.03,1.90959,1.52246,1.0116,0.99996,0.2804,0.21192,0.15615,0.08121,1.79859,1.38782,0.98913,0,0.00045953,0.00045953,0.00045953,0.000229765,0.000919061
20,3615.67,1.90463,1.50792,1.00747,1.00003,0.26796,0.20928,0.15674,0.08175,1.79293,1.3966,0.98403,0,0.000445393,0.000445393,0.000445393,0.000222697,0.000890786
21,3787.66,1.89914,1.5041,1.00608,0.99993,0.26458,0.21693,0.16448,0.08597,1.77171,1.36836,0.98118,0,0.000431256,0.000431256,0.000431256,0.000215628,0.000862512
22,3956.82,1.89578,1.49548,1.00415,1.00007,0.28171,0.21468,0.16587,0.08705,1.75418,1.35995,0.98055,0,0.000417119,0.000417119,0.000417119,0.000208559,0.000834238
23,4128.86,1.8793,1.48239,0.99938,0.99998,0.29315,0.22083,0.17045,0.08798,1.75288,1.36283,0.97989,0,0.000402982,0.000402982,0.000402982,0.000201491,0.000805963
24,4295.02,1.86153,1.46455,0.99535,0.99997,0.30109,0.21929,0.1753,0.0917,1.74092,1.34002,0.975,0,0.000388844,0.000388844,0.000388844,0.000194422,0.000777689
25,4465.81,1.8487,1.44999,0.99278,1.00002,0.27657,0.22437,0.17313,0.09022,1.74064,1.34144,0.97255,0,0.000374707,0.000374707,0.000374707,0.000187354,0.000749414
26,4636.15,1.84773,1.44063,0.98837,1.00001,0.28822,0.22293,0.17522,0.09116,1.73961,1.33211,0.97079,0,0.00036057,0.00036057,0.00036057,0.000180285,0.00072114
27,4805.42,1.8438,1.43828,0.98647,1.00003,0.28764,0.22689,0.18269,0.09523,1.73067,1.31718,0.97049,0,0.000346433,0.000346433,0.000346433,0.000173216,0.000692866
28,4976.84,1.83681,1.42538,0.98739,0.99998,0.29514,0.22868,0.1818,0.0958,1.71822,1.31076,0.9671,0,0.000332296,0.000332296,0.000332296,0.000166148,0.000664591
29,5148.05,1.8253,1.41934,0.98447,1,0.39511,0.23025,0.18599,0.09814,1.71784,1.30925,0.96761,0,0.000318158,0.000318158,0.000318158,0.000159079,0.000636317
30,5320.9,1.81496,1.40725,0.98242,0.99995,0.30129,0.23286,0.18739,0.09897,1.71342,1.3006,0.9631,0,0.000304021,0.000304021,0.000304021,0.000152011,0.000608042
31,5490.9,1.80359,1.39618,0.9793,0.99996,0.30973,0.23524,0.18896,0.0989,1.70446,1.298,0.96292,0,0.000289884,0.000289884,0.000289884,0.000144942,0.000579768
32,5662.86,1.79898,1.39348,0.97847,1.00006,0.31134,0.23383,0.19054,0.10019,1.70084,1.28846,0.96124,0,0.000275747,0.000275747,0.000275747,0.000137873,0.000551494
33,5834.16,1.79913,1.38591,0.97648,1.00006,0.31479,0.23459,0.19141,0.10003,1.71038,1.2881,0.96602,0,0.00026161,0.00026161,0.00026161,0.000130805,0.000523219
34,6004.78,1.79756,1.3829,0.97524,0.99995,0.40262,0.23581,0.1935,0.1013,1.69196,1.28505,0.95919,0,0.000247472,0.000247472,0.000247472,0.000123736,0.000494945
35,6174.2,1.79203,1.37413,0.9745,1,0.33296,0.23572,0.19882,0.10521,1.68528,1.27363,0.95754,0,0.000233335,0.000233335,0.000233335,0.000116668,0.00046667
36,6342.35,1.78907,1.37401,0.97396,1,0.31579,0.23727,0.19503,0.10219,1.6914,1.27916,0.95858,0,0.000219198,0.000219198,0.000219198,0.000109599,0.000438396
37,6511.25,1.7798,1.35934,0.97206,0.99999,0.32913,0.23857,0.19838,0.10468,1.68555,1.27272,0.95696,0,0.000205061,0.000205061,0.000205061,0.00010253,0.000410122
38,6680.01,1.76573,1.34644,0.96744,0.99997,0.33101,0.23952,0.20225,0.1055,1.67441,1.26282,0.95505,0,0.000190924,0.000190924,0.000190924,9.54618e-05,0.000381847
39,6851.39,1.77206,1.35216,0.9682,0.99998,0.34225,0.24671,0.20138,0.10582,1.67683,1.26251,0.9546,0,0.000176786,0.000176786,0.000176786,8.83932e-05,0.000353573
40,7022.69,1.76383,1.34297,0.96806,1.00004,0.33394,0.24419,0.20324,0.10735,1.67171,1.25855,0.95597,0,0.000162649,0.000162649,0.000162649,8.13246e-05,0.000325298
41,7196.01,1.70565,1.31716,0.96983,1.0003,0.34387,0.24102,0.20302,0.10683,1.68081,1.26265,0.95478,0,0.000148512,0.000148512,0.000148512,7.4256e-05,0.000297024
42,7367.11,1.69839,1.30092,0.96759,0.99991,0.32859,0.24494,0.20174,0.10748,1.67368,1.2566,0.95378,0,0.000134375,0.000134375,0.000134375,6.71874e-05,0.00026875
43,7538.83,1.68459,1.28759,0.96518,0.99993,0.33816,0.2445,0.20373,0.10849,1.67302,1.25273,0.95338,0,0.000120238,0.000120238,0.000120238,6.01188e-05,0.000240475
44,7711.18,1.68299,1.28344,0.96505,1.00004,0.34655,0.24318,0.20295,0.10774,1.66896,1.25025,0.95203,0,0.0001061,0.0001061,0.0001061,5.30502e-05,0.000212201
45,7882.92,1.67747,1.27366,0.96278,0.99998,0.33738,0.24334,0.20579,0.1093,1.67059,1.24707,0.95264,0,9.19632e-05,9.19632e-05,9.19632e-05,4.59816e-05,0.000183926
46,8053.06,1.67195,1.27262,0.96115,1.00007,0.34677,0.24022,0.20505,0.10872,1.66914,1.24513,0.95225,0,7.7826e-05,7.7826e-05,7.7826e-05,3.8913e-05,0.000155652
47,8225.01,1.6715,1.26646,0.95916,0.99988,0.35076,0.24617,0.20592,0.10972,1.66148,1.24362,0.95061,0,6.36888e-05,6.36888e-05,6.36888e-05,3.18444e-05,0.000127378
48,8396.58,1.66849,1.26503,0.96061,1.00003,0.34284,0.24507,0.20621,0.10992,1.66614,1.24231,0.95182,0,4.95516e-05,4.95516e-05,4.95516e-05,2.47758e-05,9.91032e-05
49,8568.09,1.66535,1.25914,0.95867,0.99995,0.34579,0.24474,0.20723,0.11042,1.66159,1.24002,0.95154,0,3.54144e-05,3.54144e-05,3.54144e-05,1.77072e-05,7.08288e-05
50,8740.12,1.66381,1.26092,0.96031,1,0.35596,0.24604,0.20768,0.11065,1.65941,1.23801,0.95037,0,2.12772e-05,2.12772e-05,2.12772e-05,1.06386e-05,4.25544e-05
