epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,544.566,5.45772,6.0823,4.28338,2.13313,6e-05,0.00083,0,0,5.54784,5.61921,4.20803,0,0.000237706,0.000237706,0.000237706,0.000118853,0.000475412
2,803.011,3.71165,3.56581,2.32091,1.84216,0.13263,0.09039,0.02106,0.00776,2.9576,2.55675,1.49613,0,0.000466287,0.000466287,0.000466287,0.000233143,0.000932574
3,1057.49,2.89938,2.511,1.43074,1.93625,0.15567,0.12814,0.04211,0.018,2.5987,2.23087,1.25716,0,0.000685443,0.000685443,0.000685443,0.000342722,0.00137089
4,1309.92,2.56567,2.22211,1.25891,1.99636,0.19726,0.13475,0.05932,0.02655,2.32688,1.97819,1.17888,0,0.000671588,0.000671588,0.000671588,0.000335794,0.00134318
5,1562.49,2.40593,2.05921,1.18428,1.99934,0.24441,0.13021,0.07357,0.03283,2.23689,1.8625,1.1298,0,0.000657451,0.000657451,0.000657451,0.000328726,0.0013149
6,1814.08,2.31088,1.96773,1.14321,1.99973,0.26288,0.13909,0.08174,0.03905,2.13296,1.7679,1.0966,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
7,2065.86,2.24394,1.89032,1.10919,1.9999,0.26917,0.15266,0.09698,0.04708,2.07075,1.68628,1.07388,0,0.000629177,0.000629177,0.000629177,0.000314588,0.00125835
8,2317.95,2.18044,1.82359,1.09025,1.99999,0.21028,0.16146,0.10161,0.05044,2.04589,1.65559,1.04779,0,0.00061504,0.00061504,0.00061504,0.00030752,0.00123008
9,2568.95,2.15174,1.78231,1.07732,1.99989,0.19501,0.16971,0.10743,0.05256,1.9888,1.61527,1.04402,0,0.000600902,0.000600902,0.000600902,0.000300451,0.0012018
10,2821.22,2.11573,1.74332,1.06279,2.00008,0.21627,0.16791,0.11753,0.05721,1.96909,1.57295,1.04252,0,0.000586765,0.000586765,0.000586765,0.000293383,0.00117353
11,3072.54,2.0716,1.70071,1.05353,1.99988,0.21617,0.17951,0.12147,0.05988,1.9401,1.53956,1.02813,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
12,3324.32,2.04251,1.66434,1.0427,2.00007,0.22979,0.18366,0.12979,0.06561,1.91038,1.5143,1.01665,0,0.000558491,0.000558491,0.000558491,0.000279245,0.00111698
13,3575.29,2.02935,1.65445,1.03619,1.99986,0.23341,0.18865,0.13689,0.0685,1.90326,1.49298,1.00678,0,0.000544354,0.000544354,0.000544354,0.000272177,0.00108871
14,3827.58,1.9974,1.61982,1.03114,2.0001,0.23976,0.18827,0.13699,0.06961,1.88881,1.47695,1.00532,0,0.000530216,0.000530216,0.000530216,0.000265108,0.00106043
15,4079.91,1.98299,1.59798,1.02783,2.00003,0.23102,0.19526,0.13744,0.06996,1.89516,1.47383,0.99673,0,0.000516079,0.000516079,0.000516079,0.00025804,0.00103216
16,4331.39,1.96818,1.57654,1.01951,1.99997,0.24359,0.19907,0.14249,0.07227,1.8428,1.44442,0.99661,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
17,4582.81,1.95089,1.5612,1.01806,1.99989,0.25568,0.20562,0.14937,0.07698,1.8252,1.42579,0.99686,0,0.000487805,0.000487805,0.000487805,0.000243902,0.00097561
18,4834.48,1.93995,1.54236,1.0106,2.00005,0.25587,0.21151,0.15176,0.07767,1.81507,1.4173,0.9909,0,0.000473668,0.000473668,0.000473668,0.000236834,0.000947335
19,5085.67,1.91361,1.52174,1.00764,2.00004,0.24947,0.2162,0.15245,0.07848,1.80722,1.40368,0.98397,0,0.00045953,0.00045953,0.00045953,0.000229765,0.000919061
20,5335.68,1.90676,1.50878,1.00434,1.99992,0.27286,0.21595,0.16167,0.08266,1.79562,1.39768,0.98353,0,0.000445393,0.000445393,0.000445393,0.000222697,0.000890786
21,5587.4,1.90512,1.50325,1.00291,2.00002,0.26795,0.21722,0.16424,0.085,1.78818,1.38097,0.9801,0,0.000431256,0.000431256,0.000431256,0.000215628,0.000862512
22,5838.97,1.89851,1.49504,1.00091,2.00001,0.2818,0.21958,0.1668,0.08658,1.76945,1.3619,0.97493,0,0.000417119,0.000417119,0.000417119,0.000208559,0.000834238
23,6090.63,1.88289,1.48088,0.99658,2.00001,0.2768,0.2187,0.1686,0.08851,1.75838,1.3586,0.97652,0,0.000402982,0.000402982,0.000402982,0.000201491,0.000805963
24,6341.83,1.86691,1.46214,0.99308,1.99999,0.28721,0.21953,0.17351,0.09077,1.75043,1.34723,0.97094,0,0.000388844,0.000388844,0.000388844,0.000194422,0.000777689
25,6593.54,1.85335,1.45011,0.99068,1.99995,0.28264,0.22612,0.17689,0.0924,1.73895,1.33167,0.96945,0,0.000374707,0.000374707,0.000374707,0.000187354,0.000749414
26,6845.36,1.85677,1.44109,0.98695,2.00002,0.28643,0.22977,0.17631,0.0915,1.75047,1.33554,0.97287,0,0.00036057,0.00036057,0.00036057,0.000180285,0.00072114
27,7097.21,1.85091,1.43795,0.98566,1.99997,0.29505,0.23334,0.18113,0.09457,1.73154,1.318,0.96987,0,0.000346433,0.000346433,0.000346433,0.000173216,0.000692866
28,7349.41,1.84024,1.42663,0.98567,2.00004,0.28417,0.23839,0.18131,0.09532,1.72177,1.31799,0.96539,0,0.000332296,0.000332296,0.000332296,0.000166148,0.000664591
29,7600.78,1.82876,1.41721,0.98294,2,0.29932,0.23808,0.18567,0.09691,1.72271,1.3078,0.96663,0,0.000318158,0.000318158,0.000318158,0.000159079,0.000636317
30,7852.4,1.82179,1.40497,0.98129,2,0.29683,0.24018,0.18953,0.09889,1.71166,1.30101,0.96174,0,0.000304021,0.000304021,0.000304021,0.000152011,0.000608042
31,8103.99,1.8067,1.39347,0.97706,2.00004,0.30405,0.23627,0.18837,0.09801,1.70632,1.29252,0.9631,0,0.000289884,0.000289884,0.000289884,0.000144942,0.000579768
32,8356.09,1.80216,1.39123,0.97581,1.99996,0.30773,0.23891,0.1879,0.09852,1.70877,1.2934,0.96185,0,0.000275747,0.000275747,0.000275747,0.000137873,0.000551494
33,8608.33,1.80531,1.38402,0.9755,2.00006,0.29681,0.24301,0.1884,0.09853,1.70254,1.28613,0.96237,0,0.00026161,0.00026161,0.00026161,0.000130805,0.000523219
34,8859.49,1.80496,1.38282,0.97415,1.99993,0.30823,0.24073,0.19292,0.1019,1.69076,1.27744,0.95596,0,0.000247472,0.000247472,0.000247472,0.000123736,0.000494945
35,9110.47,1.79772,1.37282,0.97321,2,0.31302,0.24279,0.1993,0.10574,1.68469,1.27302,0.95651,0,0.000233335,0.000233335,0.000233335,0.000116668,0.00046667
36,9361.22,1.79483,1.37153,0.97292,1.99994,0.30551,0.24329,0.19414,0.10165,1.68715,1.27638,0.95529,0,0.000219198,0.000219198,0.000219198,0.000109599,0.000438396
37,9612.98,1.78457,1.35921,0.96982,2.00009,0.31407,0.24691,0.19759,0.10435,1.68277,1.26744,0.95443,0,0.000205061,0.000205061,0.000205061,0.00010253,0.000410122
38,9864.42,1.76995,1.34355,0.96593,1.99995,0.31298,0.25331,0.20052,0.10527,1.67605,1.25976,0.95287,0,0.000190924,0.000190924,0.000190924,9.54618e-05,0.000381847
39,10115.6,1.77566,1.34856,0.96657,2.00001,0.31876,0.25052,0.20062,0.10574,1.67838,1.25963,0.95267,0,0.000176786,0.000176786,0.000176786,8.83932e-05,0.000353573
40,10367.2,1.76794,1.34072,0.96643,1.99998,0.31344,0.25256,0.20106,0.10583,1.67497,1.25987,0.95473,0,0.000162649,0.000162649,0.000162649,8.13246e-05,0.000325298
41,10618.4,1.71337,1.3157,0.96984,2.00029,0.32257,0.24517,0.20072,0.10517,1.68265,1.26289,0.95282,0,0.000148512,0.000148512,0.000148512,7.4256e-05,0.000297024
42,10867.5,1.70236,1.29612,0.96627,1.99993,0.32039,0.24942,0.20064,0.1054,1.67875,1.2576,0.95402,0,0.000134375,0.000134375,0.000134375,6.71874e-05,0.00026875
43,11118.2,1.68927,1.28446,0.96455,1.99999,0.3219,0.24933,0.19971,0.10485,1.6834,1.25687,0.9545,0,0.000120238,0.000120238,0.000120238,6.01188e-05,0.000240475
