epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,722.193,5.55467,6.18327,4.3533,2.9085,4e-05,0.00043,3e-05,1e-05,5.74296,5.68667,4.26246,0,0.000237706,0.000237706,0.000237706,0.000118853,0.000475412
2,1083.17,3.8168,3.57783,2.44998,2.80626,0.13114,0.09087,0.01979,0.00663,3.00726,2.54129,1.54871,0,0.000466287,0.000466287,0.000466287,0.000233143,0.000932574
3,1441.29,2.90445,2.48594,1.486,2.9015,0.18239,0.09569,0.04395,0.01772,2.60268,2.17644,1.30178,0,0.000685443,0.000685443,0.000685443,0.000342722,0.00137089
4,1795.28,2.57781,2.20801,1.29586,2.97877,0.23249,0.12315,0.06151,0.02588,2.3725,1.94877,1.217,0,0.000671588,0.000671588,0.000671588,0.000335794,0.00134318
5,2150.88,2.4145,2.0573,1.21694,2.9871,0.25852,0.13247,0.07596,0.03417,2.21771,1.86254,1.14259,0,0.000657451,0.000657451,0.000657451,0.000328726,0.0013149
6,2504.78,2.32254,1.97086,1.16945,2.98951,0.34807,0.14438,0.08209,0.03848,2.15976,1.76862,1.11594,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
7,2859.63,2.25629,1.89383,1.12731,2.99323,0.35042,0.14752,0.08822,0.04192,2.13388,1.74915,1.09413,0,0.000629177,0.000629177,0.000629177,0.000314588,0.00125835
8,3215.07,2.19759,1.83452,1.1068,2.99335,0.25946,0.16172,0.09768,0.0461,2.06451,1.66827,1.06315,0,0.00061504,0.00061504,0.00061504,0.00030752,0.00123008
9,3566.91,2.16765,1.79261,1.08955,2.9963,0.17734,0.16587,0.10606,0.05122,2.01394,1.63651,1.06231,0,0.000600902,0.000600902,0.000600902,0.000300451,0.0012018
10,3912.01,2.13031,1.74866,1.0737,2.99638,0.20819,0.17036,0.11354,0.05546,1.98059,1.58259,1.04718,0,0.000586765,0.000586765,0.000586765,0.000293383,0.00117353
11,4264.22,2.08733,1.70911,1.06252,2.99035,0.20911,0.17912,0.12113,0.05925,1.95254,1.55326,1.03356,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
12,4608.97,2.06174,1.67723,1.05236,2.99582,0.23385,0.1861,0.12969,0.06409,1.93983,1.52912,1.02705,0,0.000558491,0.000558491,0.000558491,0.000279245,0.00111698
13,4948.42,2.04704,1.66556,1.04378,2.99636,0.2311,0.18374,0.13225,0.06614,1.91685,1.50659,1.01212,0,0.000544354,0.000544354,0.000544354,0.000272177,0.00108871
14,5294.15,2.01686,1.63431,1.03866,2.99225,0.22906,0.18843,0.1319,0.06627,1.90492,1.49806,1.01325,0,0.000530216,0.000530216,0.000530216,0.000265108,0.00106043
15,5641.76,1.99869,1.61319,1.03417,2.99671,0.2419,0.18935,0.13179,0.06603,1.93648,1.50152,1.00876,0,0.000516079,0.000516079,0.000516079,0.00025804,0.00103216
16,5996.31,1.98603,1.58877,1.02604,2.99276,0.25609,0.20186,0.14978,0.07513,1.86749,1.44927,1.00578,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
17,6346.92,1.96561,1.57498,1.0235,2.99337,0.25962,0.20183,0.15013,0.07637,1.83741,1.44331,1.00031,0,0.000487805,0.000487805,0.000487805,0.000243902,0.00097561
18,6701.17,1.96002,1.56074,1.0166,2.99637,0.26524,0.21221,0.16112,0.08115,1.83332,1.41431,0.99685,0,0.000473668,0.000473668,0.000473668,0.000236834,0.000947335
19,7044.22,1.93506,1.53968,1.01403,2.99584,0.26467,0.20718,0.1568,0.07976,1.83351,1.41442,0.99092,0,0.00045953,0.00045953,0.00045953,0.000229765,0.000919061
20,7394.23,1.92848,1.52457,1.00806,2.99512,0.2729,0.21227,0.15709,0.08049,1.82649,1.43169,0.98831,0,0.000445393,0.000445393,0.000445393,0.000222697,0.000890786
21,7747.96,1.92832,1.52629,1.00734,2.99431,0.26883,0.21638,0.16476,0.08432,1.80815,1.40082,0.98506,0,0.000431256,0.000431256,0.000431256,0.000215628,0.000862512
22,8098.51,1.92184,1.517,1.00508,2.99179,0.26886,0.21923,0.16753,0.08605,1.78883,1.38004,0.97976,0,0.000417119,0.000417119,0.000417119,0.000208559,0.000834238
23,8444.92,1.90698,1.50289,0.99968,2.99047,0.28211,0.22204,0.17349,0.08923,1.78419,1.37739,0.97951,0,0.000402982,0.000402982,0.000402982,0.000201491,0.000805963
24,8797.07,1.89123,1.48769,0.99637,2.98879,0.29081,0.22081,0.17358,0.08918,1.78346,1.37844,0.97759,0,0.000388844,0.000388844,0.000388844,0.000194422,0.000777689
