epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,717.761,5.60437,6.23717,4.36849,2.19516,5e-05,0.00096,0,0,5.82377,5.73849,4.32471,0,0.000237706,0.000237706,0.000237706,0.000118853,0.000475412
2,1065.68,3.80644,3.61056,2.39463,1.80288,0.13471,0.09149,0.0213,0.00751,2.97944,2.51148,1.53804,0,0.000466287,0.000466287,0.000466287,0.000233143,0.000932574
3,1409.51,2.91196,2.49987,1.47151,1.91357,0.1635,0.12148,0.04432,0.01877,2.51273,2.13329,1.28137,0,0.000685443,0.000685443,0.000685443,0.000342722,0.00137089
4,1751.89,2.5704,2.2173,1.29861,1.99929,0.20233,0.12077,0.0572,0.02524,2.33057,1.96214,1.20488,0,0.000671588,0.000671588,0.000671588,0.000335794,0.00134318
5,2091.59,2.40681,2.05505,1.22891,1.9995,0.24345,0.13043,0.07411,0.03364,2.21203,1.82122,1.15276,0,0.000657451,0.000657451,0.000657451,0.000328726,0.0013149
6,2435.02,2.3108,1.96267,1.18382,1.99383,0.25395,0.14476,0.08429,0.04007,2.10893,1.75186,1.11965,0,0.000643314,0.000643314,0.000643314,0.000321657,0.00128663
7,2778.15,2.24802,1.88702,1.14508,1.99976,0.35676,0.14893,0.09044,0.04332,2.10638,1.72189,1.0965,0,0.000629177,0.000629177,0.000629177,0.000314588,0.00125835
8,3120.42,2.19262,1.83308,1.12256,1.99903,0.17959,0.15928,0.09684,0.0465,2.10188,1.69947,1.08687,0,0.00061504,0.00061504,0.00061504,0.00030752,0.00123008
9,3463.31,2.16102,1.79021,1.1036,2.00041,0.1848,0.16779,0.10878,0.05247,1.99869,1.61347,1.05951,0,0.000600902,0.000600902,0.000600902,0.000300451,0.0012018
10,3807.7,2.12528,1.75099,1.08575,1.99978,0.19818,0.17114,0.11189,0.05549,1.98948,1.60164,1.05113,0,0.000586765,0.000586765,0.000586765,0.000293383,0.00117353
11,4149.09,2.08468,1.70973,1.0744,1.99965,0.20941,0.17535,0.12083,0.05933,1.95851,1.55327,1.03706,0,0.000572628,0.000572628,0.000572628,0.000286314,0.00114526
12,4491.6,2.0534,1.6741,1.06172,2.00137,0.2195,0.17722,0.12385,0.06238,1.91893,1.52718,1.02869,0,0.000558491,0.000558491,0.000558491,0.000279245,0.00111698
13,4834.42,2.03739,1.66242,1.05272,1.99775,0.22749,0.19112,0.13188,0.0662,1.90328,1.49986,1.0212,0,0.000544354,0.000544354,0.000544354,0.000272177,0.00108871
14,5176.91,2.00816,1.63103,1.04655,2.00092,0.22397,0.18863,0.12914,0.06534,1.89647,1.49394,1.01824,0,0.000530216,0.000530216,0.000530216,0.000265108,0.00106043
15,5518.08,1.99105,1.60816,1.04172,2.00079,0.23078,0.19435,0.1364,0.06858,1.88496,1.47722,1.00409,0,0.000516079,0.000516079,0.000516079,0.00025804,0.00103216
16,5859.3,1.97572,1.58366,1.03347,1.99953,0.23493,0.19913,0.14085,0.07128,1.86014,1.45471,1.00937,0,0.000501942,0.000501942,0.000501942,0.000250971,0.00100388
17,6199.25,1.95985,1.57492,1.03146,1.99926,0.24716,0.20649,0.1476,0.0753,1.82612,1.42417,1.00163,0,0.000487805,0.000487805,0.000487805,0.000243902,0.00097561
18,6539.64,1.95041,1.55311,1.02337,1.99954,0.25031,0.20548,0.15266,0.07772,1.8033,1.41174,0.9994,0,0.000473668,0.000473668,0.000473668,0.000236834,0.000947335
