threshold,epoch,mAP50-95,mAP50,train_box_loss,train_cls_loss,train_dfl_loss,train_mixture_aux_loss
0.05,1,0.24041,0.32323,1.1573,1.11471,1.24534,3
0.05,2,0.28664,0.39879,1.139,1.05094,1.21544,3
0.05,3,0.32928,0.45148,1.14001,1.10557,1.23537,3
0.05,4,0.36605,0.49528,1.13555,1.05786,1.24772,2.98632
0.05,5,0.39693,0.53328,1.15671,1.13598,1.21094,2.81092
0.05,6,0.42653,0.56612,1.16939,1.10145,1.24935,2.62357
0.05,7,0.4411,0.59155,1.1488,1.09523,1.23557,2.46585
0.05,8,0.45328,0.60779,1.15487,1.11282,1.22234,2.33105
0.05,9,0.46247,0.61506,1.12043,1.09934,1.21202,2.21478
0.05,10,0.46541,0.62221,1.1556,1.08154,1.21243,2.11379
0.1,1,0,0,1.78733,2.72194,1.72759,3
0.1,2,0,0,1.81213,2.69703,1.71919,3
0.1,3,0,0,1.83017,2.75391,1.73519,2.99739
0.1,4,0,0,1.79483,2.64369,1.74328,2.85052
0.1,5,1e-05,5e-05,1.78453,2.60889,1.69126,2.6567
0.1,6,0.00022,0.00093,1.79902,2.55181,1.70751,2.49383
0.1,7,0.00048,0.00179,1.73304,2.62311,1.65515,2.35514
0.1,8,0.00396,0.00647,1.8275,2.72027,1.72086,2.23571
0.1,9,0.01306,0.02016,1.68271,2.62241,1.63004,2.13188
0.1,10,0.01759,0.02794,1.74868,2.58943,1.64522,2.04083
0.15,1,0,0,2.25839,3.9619,2.0732,3
0.15,2,0,0,2.28171,4.01333,2.10552,3
0.15,3,0,0,2.30707,4.08044,2.17236,2.9958
0.15,4,0,0,2.28769,3.98013,2.16987,2.84483
0.15,5,0,1e-05,2.22959,3.95431,2.05816,2.65194
0.15,6,5e-05,0.00016,2.2933,3.80395,2.12665,2.48979
0.15,7,0.00023,0.00171,2.17679,3.83626,2.01892,2.35168
0.15,8,0.0005,0.00177,2.26178,4.11349,2.10238,2.23272
0.15,9,0.00079,0.00255,2.18819,3.81011,2.05167,2.12926
0.15,10,0.00212,0.00465,2.20662,3.81165,2.03771,2.03852
0.2,1,0,0,2.25839,3.9619,2.0732,3
0.2,2,0,0,2.28171,4.01333,2.10552,3
0.2,3,0,0,2.30707,4.08044,2.17236,2.9958
0.2,4,0,0,2.28769,3.98013,2.16987,2.84483
0.2,5,0,1e-05,2.22959,3.95431,2.05816,2.65194
0.2,6,5e-05,0.00016,2.2933,3.80395,2.12665,2.48979
0.2,7,0.00023,0.00171,2.17679,3.83626,2.01892,2.35168
0.2,8,0.0005,0.00177,2.26178,4.11349,2.10238,2.23272
0.2,9,0.00079,0.00255,2.18819,3.81011,2.05167,2.12926
0.2,10,0.00212,0.00465,2.20662,3.81165,2.03771,2.03852
0.3,1,0,0,2.25839,3.9619,2.0732,3
0.3,2,0,0,2.28171,4.01333,2.10552,3
0.3,3,0,0,2.30707,4.08044,2.17236,2.9958
0.3,4,0,0,2.28769,3.98013,2.16987,2.84483
0.3,5,0,1e-05,2.22959,3.95431,2.05816,2.65194
0.3,6,5e-05,0.00016,2.2933,3.80395,2.12665,2.48979
0.3,7,0.00023,0.00171,2.17679,3.83626,2.01892,2.35168
0.3,8,0.0005,0.00177,2.26178,4.11349,2.10238,2.23272
0.3,9,0.00079,0.00255,2.18819,3.81011,2.05167,2.12926
0.3,10,0.00212,0.00465,2.20662,3.81165,2.03771,2.03852
