threshold,stage,layer_name,retained_experts,original_experts
0.0,dense,model.3,3,3
0.0,dense,model.6,3,3
0.0,dense,model.9,3,3
0.0,dense,model.12,3,3
0.05,direct,model.3,2,3
0.05,direct,model.6,3,3
0.05,direct,model.9,3,3
0.05,direct,model.12,3,3
0.05,lora10,model.3,2,3
0.05,lora10,model.6,3,3
0.05,lora10,model.9,3,3
0.05,lora10,model.12,3,3
0.1,direct,model.3,1,3
0.1,direct,model.6,2,3
0.1,direct,model.9,2,3
0.1,direct,model.12,2,3
0.1,lora10,model.3,1,3
0.1,lora10,model.6,2,3
0.1,lora10,model.9,2,3
0.1,lora10,model.12,2,3
0.15,direct,model.3,1,3
0.15,direct,model.6,1,3
0.15,direct,model.9,1,3
0.15,direct,model.12,1,3
0.15,lora10,model.3,1,3
0.15,lora10,model.6,1,3
0.15,lora10,model.9,1,3
0.15,lora10,model.12,1,3
0.2,direct,model.3,1,3
0.2,direct,model.6,1,3
0.2,direct,model.9,1,3
0.2,direct,model.12,1,3
0.2,lora10,model.3,1,3
0.2,lora10,model.6,1,3
0.2,lora10,model.9,1,3
0.2,lora10,model.12,1,3
0.3,direct,model.3,1,3
0.3,direct,model.6,1,3
0.3,direct,model.9,1,3
0.3,direct,model.12,1,3
0.3,lora10,model.3,1,3
0.3,lora10,model.6,1,3
0.3,lora10,model.9,1,3
0.3,lora10,model.12,1,3
