"run_id","model","eval_request","epoch","map50","map50_95","precision","recall","box_loss","cls_loss","dfl_loss","moe_loss"
"ebm62hkt","v0.1-N","default","1","2.08E-06","1.26E-06","6.99E-05","0.000107","5.566","6.079","4.35","1.175"
"ebm62hkt","v0.1-N","default","2","0.0263","0.00943","0.0419","0.126","3.94","3.792","2.602","0.9986"
"ebm62hkt","v0.1-N","default","3","0.0551","0.0239","0.3","0.128","2.631","2.344","1.401","0.9993"
"ebm62hkt","v0.1-N","default","4","0.0763","0.0367","0.239","0.139","2.333","2.034","1.246","0.9982"
"ebm62hkt","v0.1-N","default","5","0.0976","0.0473","0.187","0.16","2.191","1.87","1.178","0.9984"
"ebm62hkt","v0.1-N","default","6","0.102","0.0492","0.184","0.168","2.08","1.753","1.141","0.9968"
"ebm62hkt","v0.1-N","default","7","0.126","0.0615","0.252","0.188","2.017","1.679","1.118","0.9961"
"ebm62hkt","v0.1-N","default","8","0.133","0.0661","0.232","0.207","1.956","1.608","1.098","0.9977"
"ebm62hkt","v0.1-N","default","9","0.146","0.0747","0.331","0.214","1.908","1.552","1.079","0.9966"
"ebm62hkt","v0.1-N","default","10","0.155","0.0804","0.347","0.212","1.886","1.516","1.062","0.9966"
"ebm62hkt","v0.1-N","default","11","0.164","0.0842","0.267","0.215","1.863","1.49","1.055","0.9975"
"ebm62hkt","v0.1-N","default","12","0.158","0.0802","0.252","0.222","1.839","1.461","1.045","0.9979"
"ebm62hkt","v0.1-N","default","13","0.187","0.0961","0.391","0.236","1.81","1.429","1.038","0.9971"
"ebm62hkt","v0.1-N","default","14","0.197","0.104","0.307","0.251","1.825","1.429","1.028","0.998"
"ebm62hkt","v0.1-N","default","15","0.194","0.102","0.306","0.242","1.8","1.414","1.022","0.9982"
"ebm62hkt","v0.1-N","default","16","0.192","0.102","0.315","0.242","1.796","1.408","1.014","0.9981"
"ebm62hkt","v0.1-N","default","17","0.205","0.11","0.321","0.25","1.778","1.384","1.007","0.9992"
"ebm62hkt","v0.1-N","default","18","0.21","0.111","0.318","0.255","1.764","1.376","1.003","0.9986"
"ebm62hkt","v0.1-N","default","19","0.21","0.112","0.337","0.261","1.753","1.363","0.9964","0.9991"
"ebm62hkt","v0.1-N","default","20","0.223","0.122","0.355","0.266","1.754","1.355","0.9944","0.9987"
"ebm62hkt","v0.1-N","default","21","0.226","0.122","0.338","0.272","1.737","1.326","0.9886","0.9992"
"ebm62hkt","v0.1-N","default","22","0.23","0.125","0.332","0.275","1.718","1.321","0.9873","0.9992"
"ebm62hkt","v0.1-N","default","23","0.235","0.128","0.349","0.282","1.721","1.313","0.9831","0.9994"
"ebm62hkt","v0.1-N","default","24","0.242","0.13","0.359","0.279","1.696","1.293","0.9813","0.9993"
"ebm62hkt","v0.1-N","default","25","0.242","0.132","0.379","0.277","1.699","1.294","0.977","0.9998"
"ebm62hkt","v0.1-N","default","26","0.244","0.132","0.368","0.281","1.703","1.284","0.9726","0.9996"
"ebm62hkt","v0.1-N","default","27","0.244","0.132","0.361","0.283","1.688","1.275","0.9694","0.9995"
"ebm62hkt","v0.1-N","default","28","0.245","0.134","0.359","0.288","1.672","1.261","0.9682","0.9996"
