dataset,model,evaluation,epoch,mAP50,mAP50-95,precision,recall,box_loss,cls_loss,moe_loss,wandb_url
VisDrone,v0.1-N,standard,1,1e-05,0,8e-05,0.00076,5.5262,5.92685,1.34461,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,2,0.02111,0.00796,0.25482,0.06988,4.18914,4.10099,1.00143,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,3,0.0492,0.02142,0.16854,0.13311,2.71117,2.3937,0.99666,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,4,0.06962,0.03246,0.14421,0.13817,2.34865,2.05351,0.99745,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,5,0.07785,0.03721,0.14219,0.14052,2.18056,1.85952,0.99575,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,6,0.11306,0.05466,0.20076,0.16633,2.07969,1.74175,0.99715,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,7,0.12799,0.06161,0.21341,0.18145,1.99893,1.64477,0.99635,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,8,0.12727,0.06565,0.2326,0.19735,1.95576,1.58481,0.9964,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,9,0.14274,0.07439,0.22404,0.21278,1.89956,1.53387,0.99591,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,10,0.14786,0.07508,0.24075,0.21305,1.87334,1.50137,0.9971,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,11,0.16436,0.08418,0.26349,0.22438,1.83705,1.46077,0.99705,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,12,0.17831,0.09206,0.27021,0.24065,1.82479,1.43941,0.99611,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,13,0.17849,0.09361,0.38898,0.22857,1.79528,1.40273,0.9961,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,14,0.18615,0.09677,0.28243,0.23573,1.79412,1.39643,0.9962,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,15,0.18461,0.09458,0.32139,0.23245,1.7719,1.36945,0.99618,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,16,0.2068,0.10883,0.32239,0.2493,1.76135,1.36146,0.99687,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,17,0.20863,0.10883,0.3524,0.2507,1.76832,1.35979,0.99702,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,18,0.20892,0.11169,0.32506,0.25523,1.76034,1.35676,0.99706,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,19,0.2035,0.10848,0.31857,0.25803,1.74562,1.33821,0.99731,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,20,0.22565,0.1214,0.34316,0.26709,1.73316,1.32805,0.99707,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,21,0.22129,0.11959,0.34303,0.27404,1.73833,1.32213,0.99713,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,22,0.23306,0.12671,0.34366,0.28203,1.73178,1.31792,0.9986,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,23,0.2308,0.124,0.34154,0.27568,1.70851,1.29664,0.99751,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,24,0.23983,0.12811,0.37357,0.2737,1.69082,1.27953,0.99789,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,25,0.23177,0.1255,0.34933,0.27704,1.69893,1.28371,0.99903,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,26,0.2398,0.12968,0.35115,0.28327,1.68438,1.27509,0.99762,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,27,0.24559,0.13423,0.36167,0.28456,1.67773,1.26416,0.99878,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,28,0.24594,0.13404,0.36339,0.28696,1.66749,1.25166,0.9983,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,29,0.25059,0.13541,0.36939,0.29596,1.65812,1.23822,0.99919,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,30,0.25513,0.13802,0.37428,0.29131,1.65696,1.23199,0.99839,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,31,0.25222,0.1361,0.36086,0.29371,1.64772,1.22585,0.99906,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,32,0.25412,0.13874,0.36656,0.29867,1.64551,1.22151,0.99891,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,33,0.25594,0.14065,0.3826,0.2943,1.6379,1.21041,0.99855,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,34,0.25871,0.14131,0.36414,0.29616,1.62562,1.2064,0.99901,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,35,0.25533,0.14018,0.37829,0.29799,1.62388,1.19787,0.99947,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,36,0.26738,0.14716,0.39062,0.30256,1.62195,1.19488,0.9993,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,37,0.26504,0.14588,0.40519,0.29372,1.61223,1.18967,0.9994,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,38,0.26549,0.14584,0.38231,0.30541,1.62717,1.18925,0.99904,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,39,0.26963,0.14756,0.39318,0.30596,1.61102,1.18389,0.99937,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,40,0.26795,0.14652,0.39266,0.30398,1.60272,1.17187,0.99971,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,41,0.27241,0.14964,0.38585,0.30756,1.59765,1.16643,0.99918,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,42,0.27577,0.15269,0.37922,0.31266,1.59881,1.16796,0.99964,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,43,0.27533,0.15211,0.3948,0.30511,1.59103,1.16048,0.99905,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,44,0.28048,0.15455,0.39761,0.31198,1.58303,1.15161,0.99999,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,45,0.27983,0.15436,0.40052,0.31272,1.58147,1.14837,0.99965,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,46,0.27875,0.15338,0.39497,0.31469,1.57867,1.14669,0.99939,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,47,0.28313,0.15589,0.4006,0.31475,1.58158,1.14094,0.99945,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,48,0.28073,0.1547,0.39489,0.31289,1.57137,1.13581,0.9998,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,49,0.28432,0.15699,0.4092,0.31426,1.57542,1.13505,0.99992,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,50,0.28805,0.1601,0.40492,0.32387,1.57663,1.1318,1.00005,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
VisDrone,v0.1-N,standard,51,0.28536,0.15836,0.3971,0.32265,1.559,1.12731,0.99929,https://wandb.ai/lwb060819-guangdong-university-of-technology/yolo-master-reproduce-rtx5070
